start|end|text
0.0|0.5999999999999999| 안녕하세요.
1.05|6.2| 이 강의는 GPT API로 챗봇 만들기라는 내용을 다루는 강의입니다.
7.05|10.3| GPT API에 대해서 생소하신 분들도 있을텐데,
10.65|21.35| 우리가 잘 알고 있는 채 GPT, 채 GPT 기능을 이용해서 우리가 원하는 프로그램을 어떻게 만드는지에 대해서 이야기할거에요.
21.6|23.700000000000003| 그래서 이런 강의들이 사실 많이 있습니다.
23.900000000000002|26.950000000000003| 그래서 여러가지들이 있는데 좀 이 강의의 특징이라고 하는
26.708|37.257999999999996| 칭이라고 한다면 GPT로 명확한 미션을 달성하는 챕봇 프로그램을 만드는 게 사실 쉽지는 않은데 이걸 어떻게 해서 구현을 하는지 그리고 그게 왜 필요한지에 대해서 좀 이야기를 할 거고요
38.108|48.257999999999996| 그 예제로 예제는 여러 가지가 될 수 있는데 여기서 예제로 하는 것은 음악 플레이리스트 동영상을 자동으로 대화를 통해서 생성하는 프로그램을 만드는 것을 다루려고 합니다
49.492|51.891999999999996| 그래서 프로그램이 실행되는 모습을 한번 보여드릴게요.
51.992|57.94199999999999| 우리가 만들 프로그램은 이런 식으로 나타나게 되고
